"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD"
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-08-02",,,"0.06",,
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-08-03",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-08-04",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-08-05",,,"0.00",,
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-08-06",,,"0.30",,
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-08-07",,,"0.20",,
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-08-08",,,"0.00",,
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-08-09",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-08-10",,,"0.00",,
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-08-11",,,"0.04",,
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-08-12",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-08-13",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-08-14",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-08-15",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-08-16",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-08-17",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-08-18",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-08-19",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-08-20",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-08-21",,,"0.01",,
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-08-22",,,"0.00",,
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-08-23",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-08-24",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-08-25",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-08-26",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-08-27",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-08-28",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-08-29",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-08-30",,,"0.39",,
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-08-31",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-09-01",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-09-02",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-09-05","    3","0.96",,,
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-09-06",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-09-07",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-09-08",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-09-09",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-09-10",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-09-11",,,"0.01",,
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-09-12",,,"1.12",,
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-09-13",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-09-14",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-09-15",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-09-16",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-09-17",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-09-18",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-09-19",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-09-20",,,"0.04",,
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-09-21",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-09-22",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-09-23",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-09-24",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-09-25",,,"0.02",,
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-09-26",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-09-27",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-09-28",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-09-29",,,"0.00","0.0",
"US1KYWR0034","BOWLING GREEN 0.7 WSW, KY US","36.969388","-86.452599","153.0","2022-09-30",,,"0.00","0.0",
